canonical_bioactive_name,meaningful_threshold_amount,meaningful_threshold_unit,meaningful_threshold_basis,meaningful_threshold_source,meaningful_review_status,supplement_threshold_amount,supplement_threshold_unit,supplement_threshold_basis,supplement_threshold_source,supplement_review_status,trace_definition,meaningful_definition,supplement_definition,notes
Omega 9 Fat,5,g omega-9/serving,oleic-acid/omega-9 food-level replacement context below oil-serving supplement territory,"FDA oleic acid qualified health claim, https://www.fda.gov/food/hfp-constituent-updates/fda-completes-review-qualified-health-claim-petition-oleic-acid-and-risk-coronary-heart-disease; FDA oleic acid petition review PDF, https://www.fda.gov/media/118199/download; American Heart Association fats in foods, https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/fats-in-foods",meaningful_dose_reviewed,10,g omega-9/serving,one-tablespoon olive/high-oleic oil omega-9/oleic-acid context,"FDA oleic acid qualified health claim, https://www.fda.gov/food/hfp-constituent-updates/fda-completes-review-qualified-health-claim-petition-oleic-acid-and-risk-coronary-heart-disease; olive oil monounsaturated fat per tablespoon, https://www.verywellfit.com/olive-oil-nutrition-facts-calories-and-health-benefits-4120274; WebMD oleic acid overview, https://www.webmd.com/vitamins/ai/ingredientmono-1614/oleic-acid",not_typical_supplement_reviewed,"< 5 g omega-9/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g omega-9/serving and below 10 g omega-9/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 10 g omega-9/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Omega-9 is not essential; route as oleic-rich unsaturated-fat replacement context, not as a standalone deficiency or supplement target."
Omega-3 Fatty Acids,100,mg EPA+DHA/serving,lower long-chain omega-3 effect anchor from DHA intake-response evidence and pregnancy/fish-intake context; general adult cardiovascular intake targets remain 250-500 mg/day EPA+DHA,"NIH ODS Omega-3 Fatty Acids fact sheet, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; EFSA long-chain omega-3 intake/safety context, https://www.efsa.europa.eu/en/press/news/120727; omega-3 pregnancy intake review, https://pmc.ncbi.nlm.nih.gov/articles/PMC2621042/",meaningful_dose_reviewed,300,mg EPA+DHA/serving,typical fish-oil capsule active EPA+DHA content; total fish oil is not equivalent to EPA+DHA,"NIH ODS Omega-3 Fatty Acids, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/; NIH ODS Omega-3 consumer context, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-Consumer/; Cleveland Clinic omega-3 overview, https://my.clevelandclinic.org/health/articles/17290-omega-3-fatty-acids",supplement_dose_reviewed,"< 100 mg EPA+DHA/serving; do not surface direct health-effect claims, only optional background presence language.",>= 100 mg EPA+DHA/serving and below 300 mg EPA+DHA/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 300 mg EPA+DHA/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 250 mg for minimum-effect routing. Use 100 mg only for low-threshold long-chain omega-3/DHA context; heart-health maintenance claims should generally match 250-500 mg/day EPA+DHA. Use Alpha Linolenic Acid row for plant ALA.
Palmitic Acid,1,g palmitic acid/serving,specific saturated-fatty-acid caution router at the FDA low-saturated-fat boundary; palmitic acid is LDL-raising in replacement evidence but no lower molecule-specific threshold is established,"FDA/eCFR saturated-fat nutrient-content claim criteria, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-D/section-101.62; AHA dietary fats presidential advisory, https://www.ahajournals.org/doi/10.1161/cir.0000000000000510; saturated fatty acids and CHD review, https://pmc.ncbi.nlm.nih.gov/articles/PMC2943062/",meaningful_dose_reviewed_caution,5,g palmitic acid/serving,high-palmitic saturated-fat exposure context; not a typical human supplement target,"palmitic acid and palm oil review, https://pmc.ncbi.nlm.nih.gov/articles/PMC6331788/; FDA saturated fat Daily Value, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; American Heart Association saturated fat guidance, https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats",not_typical_supplement_reviewed,"< 1 g palmitic acid/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1 g palmitic acid/serving and below 5 g palmitic acid/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 5 g palmitic acid/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 2 g for the minimum-effect review and aligned to the saturated-fat caution boundary. Caution-only row; effects depend on replacement nutrient, food matrix, and total saturated fat."
Panax ginseng,100,mg standardized extract/serving,low end of human standardized-extract trial exposure; efficacy evidence is mixed and product standardization matters,"NCCIH Asian ginseng overview, https://www.nccih.nih.gov/health/asian-ginseng; Panax ginseng safety/tolerability trial using 100 mg twice daily, https://pmc.ncbi.nlm.nih.gov/articles/PMC3501011/; Panax ginseng RCT safety review, https://pmc.ncbi.nlm.nih.gov/articles/PMC5533164/",meaningful_dose_reviewed_caution,200,mg standardized extract/serving,common Panax ginseng standardized extract dose,"NCCIH Asian Ginseng, https://www.nccih.nih.gov/health/asian-ginseng; NIH DSLD Panax Ginseng Extract 200 mg label, https://dsld.od.nih.gov/label/232253; Nature Made Multi + Ginseng 200 mg label via Walmart, https://www.walmart.com/ip/Nature-Made-Multi-Ginseng-60-Caps/3716245684",supplement_dose_reviewed_caution,"< 100 mg standardized extract/serving; do not surface direct health-effect claims, only optional background presence language.",>= 100 mg standardized extract/serving and below 200 mg standardized extract/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 200 mg standardized extract/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use only for Panax ginseng with standardized extract or clearly comparable root dose. Interactions and glucose/bleeding cautions may apply; evidence for fatigue/cognition is mixed.
Pantothenic Acid,0.5,mg/serving,10% of the 5 mg/day Daily Value and adult adequate-intake context,"NIH ODS Pantothenic Acid fact sheet, https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/; National Academies pantothenic acid DRI chapter, https://www.ncbi.nlm.nih.gov/books/NBK114311/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,300,mg pantethine/serving,common pantethine softgel dose; pantethine lipid-study context,"NIH ODS Pantothenic Acid, https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/; NOW Pantethine 300 mg label, https://www.nowfoods.com/products/supplements/pantethine-300-mg-softgels; Linus Pauling Institute pantethine trial context, https://lpi.oregonstate.edu/mic/vitamins/pantothenic-acid",supplement_dose_reviewed,"< 0.5 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.5 mg/serving and below 300 mg pantethine/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 300 mg pantethine/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Food-level adequacy threshold for vitamin B5. Pantethine lipid studies should be matched to pantethine-specific evidence, not ordinary pantothenic acid."
Ph,4.6,pH,food acidity routing threshold; pH is not an oral nutrient amount and should not use percent-DV logic,"FDA acidified and low-acid foods guidance, https://www.fda.gov/food/guidance-documents-regulatory-information-topic-food-and-dietary-supplements/acidified-low-acid-canned-foods-guidance-documents-regulatory-information; 21 CFR Part 114 acidified foods, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-114; Penn State acidified-food regulatory overview, https://extension.psu.edu/acidified-and-low-acid-food-regulatory-requirements",not_applicable,4.6,pH,food acidity routing threshold; pH is not a nutrient intake amount,"FDA acidified and low-acid canned foods guidance, https://www.fda.gov/food/guidance-documents-regulatory-information-topic-food-and-dietary-supplements/acidified-low-acid-canned-foods-guidance-documents-regulatory-information; eCFR 21 CFR Part 114 acidified foods, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-114; acidic beverages and enamel erosion review, https://pmc.ncbi.nlm.nih.gov/articles/PMC2516950/",not_typical_supplement_reviewed,> 4.6 pH; do not route acidity-specific health or food-safety context from pH alone.,"<= 4.6 pH; acidity routing context only, not an oral nutrient dose; use only when effect evidence is pH/acidity-specific.",pH <= 4.6; high-acidity context may be considered when the effect context matches the recipe acidity. This is not a supplement-dose threshold.,"Non-dose property. Use only for acidity/food-safety or dental-erosion style routing; pH direction is inverse, so the meaningful definition uses pH <= 4.6."
Phosphorus,70,mg/serving,"10% of the 700 mg/day adult RDA, used as the minimum adult adequacy contribution threshold; FDA label Daily Value remains higher at 1250 mg","NIH ODS Phosphorus fact sheet, https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/; NIH ODS Phosphorus consumer fact sheet, https://ods.od.nih.gov/factsheets/Phosphorus-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,250,mg/serving,phosphate supplement tablet dose; medical/supervised context,"NIH ODS Phosphorus, https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/; DailyMed Phospha 250 Neutral label, https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b01eac95-dbe3-4b21-a922-187e0fc8ad23; Mayo Clinic potassium and sodium phosphate, https://www.mayoclinic.org/drugs-supplements/potassium-and-sodium-phosphate-oral-route/description/drg-20074868",supplement_dose_reviewed_caution,"< 70 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 70 mg/serving and below 250 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 250 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 125 mg for the minimum-effect review using the adult RDA rather than the higher FDA label DV. Phosphate additives and CKD/mineral-balance cautions require separate evidence context.
Polyols,0.3,g sugar alcohols/serving,sensitive-subject FODMAP/polyol routing threshold for sorbitol or mannitol-type polyols; general laxative or healthy-adult GI effects usually require much higher doses,"low-FODMAP polyol cutoff discussion, https://pmc.ncbi.nlm.nih.gov/articles/PMC9956220/; polyol GI systematic review, https://pmc.ncbi.nlm.nih.gov/articles/PMC5508768/; FDA sugar alcohol label PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_SugarAlcohols_October2021.pdf",meaningful_dose_reviewed_caution,10,g sugar alcohols/serving,polyol/sugar-alcohol GI tolerance and laxative-effect routing context,"FDA sugar alcohol label guidance, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_SugarAlcohols_October2021.pdf; Health Canada sugar alcohols/polyols safety context, https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-additives/sugar-substitutes/sugar-alcohols-polyols-polydextrose-used-sweeteners-foods-food-safety.html; polyols GI systematic review, https://pmc.ncbi.nlm.nih.gov/articles/PMC5508768/",not_typical_supplement_reviewed,"< 0.3 g sugar alcohols/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.3 g sugar alcohols/serving and below 10 g sugar alcohols/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 10 g sugar alcohols/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 5 g for minimum-effect routing in IBS/FODMAP-sensitive contexts. Polyols differ widely: erythritol is usually better tolerated than sorbitol or mannitol, and healthy-adult laxative effects usually need much higher doses."
"Polyphenols, total",50,mg total polyphenols/serving,broad non-trace polyphenol exposure threshold; total polyphenols are heterogeneous and specific subclasses or assayed compounds have stronger dose anchors,"polyphenol intake and health systematic review, https://pmc.ncbi.nlm.nih.gov/articles/PMC6627994/; EFSA olive oil polyphenol opinion, https://efsa.onlinelibrary.wiley.com/doi/pdf/10.2903/j.efsa.2011.2033; polyphenols and bioavailability review, https://pmc.ncbi.nlm.nih.gov/articles/PMC7833401/",meaningful_dose_reviewed,100,mg total polyphenols/serving,lower common standardized polyphenol extract dose; broad class is heterogeneous,"Windmill Grape Seed 100 mg standardized to 95% polyphenols label, https://www.windmillvitamins.com/product/grape-seed-100-mg; EFSA olive oil polyphenol claim context, https://efsa.onlinelibrary.wiley.com/doi/pdf/10.2903/j.efsa.2011.2033; polyphenol supplement review, https://pmc.ncbi.nlm.nih.gov/articles/PMC10058246/",supplement_dose_reviewed,"< 50 mg total polyphenols/serving; do not surface direct health-effect claims, only optional background presence language.",>= 50 mg total polyphenols/serving and below 100 mg total polyphenols/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 100 mg total polyphenols/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Kept at 50 mg as a coarse total-polyphenol routing signal. Do not generalize the olive-oil hydroxytyrosol 5 mg/day claim to total polyphenols; use subclass-specific rows or assayed compounds when available.
Polyunsaturated Fat,1.2,g polyunsaturated fat/serving,"10% of the lower adult linoleic-acid adequate intake, used as a broad minimum PUFA adequacy/replacement-context threshold","FDA linoleic-acid nutrient content claim notification, https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/nutrient-content-claims-notification-foods-and-dietary-supplements-containing-linoleic-acid; EFSA opinion on mono/polyunsaturated fat replacement and blood cholesterol, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2011.2168; AHA dietary fats presidential advisory, https://www.ahajournals.org/doi/10.1161/cir.0000000000000510",meaningful_dose_reviewed,8,g/serving,polyunsaturated-fat-rich oil intervention/supplemental-oil dose context,"National Academies DRI fatty acid context, https://www.nationalacademies.org/read/11537/chapter/12; safflower oil intervention dose, https://pmc.ncbi.nlm.nih.gov/articles/PMC3115398/; NIH ODS Omega-3 supplement context, https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/",not_typical_supplement_reviewed,"< 1.2 g polyunsaturated fat/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.2 g polyunsaturated fat/serving and below 8 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 8 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 5 g for minimum-effect routing. Prefer specific omega-3, omega-6, linoleic acid, ALA, DHA, or EPA+DHA rows when possible; replacement benefit depends on what PUFA displaces."
Potassium,260,mg/serving,"10% of the lower adult potassium adequate intake, 2600 mg/day for adult women; blood-pressure dietary-pattern targets are higher","NIH ODS Potassium fact sheet, https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/; NIH ODS Potassium consumer fact sheet, https://ods.od.nih.gov/factsheets/Potassium-Consumer/; American Heart Association potassium and blood pressure guidance, https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/how-potassium-can-help-control-high-blood-pressure",meaningful_dose_reviewed,1900,mg/serving,"effect-relevant supplemental potassium territory based on human potassium-chloride blood-pressure intervention ranges; 99 mg is an OTC/tablet warning convention, not an effect threshold","NIH ODS Potassium fact sheet on 99 mg supplement practice, https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/; Linus Pauling Institute potassium review noting most BP trials used 2340-2535 mg/day supplemental potassium, https://lpi.oregonstate.edu/mic/minerals/potassium; potassium intake and blood pressure dose-response meta-analysis, https://www.ahajournals.org/doi/10.1161/JAHA.119.015719",supplement_dose_reviewed_caution,"< 260 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 260 mg/serving and below 1900 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 1900 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 470 mg for minimum-effect routing using the lower adult AI rather than FDA label DV. Blood-pressure claims should use dietary-pattern context; kidney disease and interacting medications require caution.
Proteins,5,g protein/serving,10% of the 50 g/day Daily Value for food-level protein contribution; muscle protein synthesis usually needs higher per-meal doses,"FDA protein Nutrition Facts Label PDF, https://www.accessdata.fda.gov/scripts/InteractiveNutritionFactsLabel/assets/InteractiveNFL_Protein_October2021.pdf; protein per-meal dose review, https://pmc.ncbi.nlm.nih.gov/articles/PMC5828430/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,20,g/serving,common protein powder serving dose,"Harvard Health protein powder serving range, https://www.health.harvard.edu/diet-and-nutrition/the-hidden-dangers-of-protein-powders; WebMD whey protein overview, https://www.webmd.com/vitamins/ai/ingredientmono-833/whey-protein; FDA Daily Values for protein, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",supplement_dose_reviewed,"< 5 g protein/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g protein/serving and below 20 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 20 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Retains 5 g for food-level contribution. Use 20 g+ context for muscle protein synthesis, recovery, or protein-powder style claims."
Riboflavin,0.11,mg/serving,"10% of the lower adult RDA, 1.1 mg/day for adult women; FDA Daily Value remains 1.3 mg","NIH ODS Riboflavin fact sheet, https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/; National Academies riboflavin DRI chapter, https://www.ncbi.nlm.nih.gov/books/NBK114322/; Harvard Nutrition Source riboflavin overview, https://nutritionsource.hsph.harvard.edu/riboflavin-vitamin-b2/",meaningful_dose_reviewed,100,mg/serving,common standalone riboflavin supplement dose; migraine trials use higher doses,"NIH ODS Riboflavin, https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/; Nature Way Riboflavin 100 mg label, https://naturesway.com/products/riboflavin-vitamin-b2; riboflavin migraine meta-analysis, https://pubmed.ncbi.nlm.nih.gov/33779525/",supplement_dose_reviewed,"< 0.11 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.11 mg/serving and below 100 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 100 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 0.13 mg for minimum-effect routing using the lower adult RDA. Migraine-prevention studies use much higher riboflavin doses and require separate effect matching.
Salt,0.36,g salt/serving,caution threshold derived from the FDA low-sodium boundary of 140 mg sodium per serving using sodium-to-salt factor about 2.54,"FDA sodium guidance, https://www.fda.gov/food/nutrition-education-resources-materials/sodium-your-diet; eCFR sodium nutrient-content claims, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-D/section-101.61; WHO sodium reduction fact sheet, https://www.who.int/news-room/fact-sheets/detail/sodium-reduction",meaningful_dose_reviewed_caution,1,g salt/serving,salt-tablet/electrolyte replenisher dose; caution threshold,"DailyMed sodium chloride 1 gram tablet, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f107592-10c5-ef3b-e063-6394a90a7c0a; Mayo Clinic sodium chloride oral route, https://www.mayoclinic.org/drugs-supplements/sodium-chloride-oral-route/description/drg-20122545; FDA sodium in your diet, https://www.fda.gov/food/nutrition-education-resources-materials/sodium-your-diet",supplement_dose_reviewed_caution,"< 0.36 g salt/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.36 g salt/serving and below 1 g salt/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 1 g salt/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 0.58 g for minimum-effect/caution routing. Prefer Sodium row when sodium is available directly; salt values assume sodium chloride.
Saturated Fat,1,g/serving,FDA low-saturated-fat boundary at about 5% of the 20 g/day Daily Value; caution routing for limit-style nutrient,"FDA saturated fat Nutrition Facts Label PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_SaturatedFat_October2021.pdf; FDA Nutrition Facts label guide, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; AHA dietary fats presidential advisory, https://www.ahajournals.org/doi/10.1161/cir.0000000000000510",meaningful_dose_reviewed_caution,10,g/serving,high saturated-fat/MCT-oil exposure context; caution threshold,"FDA saturated fat Daily Value, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; NOW MCT Oil 14 g saturated fat label, https://www.nowfoods.com/products/sports-nutrition/mct-oil-liquid-glass-bottle; American Heart Association saturated fat guidance, https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/saturated-fats",supplement_dose_reviewed_caution,"< 1 g/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1 g/serving and below 10 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 10 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 2 g to 1 g to match the FDA low boundary for a caution nutrient. More saturated fat is not a beneficial target; replacement nutrient matters.
Selenium,5.5,ug/serving,10% of the 55 ug/day Daily Value and adult RDA context,"NIH ODS Selenium fact sheet, https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/; NIH ODS Selenium consumer fact sheet, https://ods.od.nih.gov/factsheets/Selenium-Consumer/; Harvard Nutrition Source selenium overview, https://nutritionsource.hsph.harvard.edu/selenium/",meaningful_dose_reviewed,100,ug/serving,lower common selenium supplement dose; caution-sensitive trace mineral,"NIH ODS Selenium, https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/; Harvard Nutrition Source selenium supplement range, https://nutritionsource.hsph.harvard.edu/selenium/; Nature Bounty Selenium 200 mcg label, https://naturesbounty.com/products/selenium-200-mcg-100-tablets",supplement_dose_reviewed,"< 5.5 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5.5 ug/serving and below 100 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 100 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level adequacy threshold. Selenium has a narrow safety margin; avoid inferring benefit from high-dose exposure.
Sodium,140,mg/serving,FDA low-sodium boundary and practical sodium-caution routing threshold; below this amount a serving can still qualify as low sodium,"FDA sodium guidance, https://www.fda.gov/food/nutrition-education-resources-materials/sodium-your-diet; FDA sodium Nutrition Facts Label PDF, https://www.fda.gov/media/84261/download; eCFR sodium nutrient-content claims, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-D/section-101.61",meaningful_dose_reviewed_caution,394,mg/serving,sodium chloride tablet sodium content; caution/electrolyte replenisher context,"DailyMed sodium chloride 1 gram tablet, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f107592-10c5-ef3b-e063-6394a90a7c0a; DailyMed sodium content per tablet, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=82c29f1d-a018-7483-e053-2a91aa0a8f7e; FDA sodium in your diet, https://www.fda.gov/food/nutrition-education-resources-materials/sodium-your-diet",supplement_dose_reviewed_caution,"< 140 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 140 mg/serving and below 394 mg/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 394 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 230 mg for minimum-effect/caution routing. This is a caution-only threshold; high-sodium territory and electrolyte/sports contexts require separate evidence matching.
Soluble Fiber,0.75,g soluble fiber/serving,lowest FDA-authorized per-serving soluble-fiber health-claim anchor for beta-glucan sources; generic soluble fiber should still match the specific fiber source and effect evidence,"21 CFR 101.81 soluble fiber/CHD health claim, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-E/section-101.81; FDA Federal Register barley beta-glucan health claim, https://www.federalregister.gov/documents/2008/02/25/E8-3418/food-labeling-health-claims-soluble-fiber-from-certain-foods-and-risk-of-coronary-heart-disease; soluble fiber dose review, https://pubmed.ncbi.nlm.nih.gov/11976156/",meaningful_dose_reviewed,3,g soluble fiber/serving,common soluble-fiber powder or psyllium serving dose,"DailyMed psyllium fiber label, one serving provides 2.4 g soluble fiber, https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=afc52039-2370-4c21-b9c8-733ec009e881; Benefiber/Drugs.com label, 3 g soluble fiber per serving, https://www.drugs.com/drp/benefiber-dietary-fiber-supplement-powder.html",supplement_dose_reviewed,"< 0.75 g soluble fiber/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.75 g soluble fiber/serving and below 3 g soluble fiber/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 3 g soluble fiber/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Use specific fiber evidence when available: beta-glucan foods can be meaningful at 0.75 g soluble beta-glucan per serving, while psyllium claim context is about 1.7 g soluble fiber per serving; do not generalize every soluble fiber source to cholesterol effects."
Starch,15,g starch/serving,one carbohydrate-counting serving/exchange scale for digestible carbohydrate; starch effects are mainly glycemic/energy context rather than supplement-style benefit claims,"CDC carbohydrate counting guidance, https://www.cdc.gov/diabetes/healthy-eating/carb-counting-manage-blood-sugar.html; American Diabetes Association carbohydrate counting overview, https://diabetes.org/food-nutrition/understanding-carbs/carb-counting-and-diabetes; Stanford carbohydrate counting guide, https://stanfordhealthcare.org/content/dam/SHC/treatments/h/docs/hearttransplant-pdf-carbohydratecounting.pdf",meaningful_dose_reviewed,,,Ordinary total starch is not a typical supplement target. Resistant starch should be represented as a separate nutriment because its effects and dose thresholds differ.,,not_typical_supplement_reviewed,"< 15 g starch/serving; do not surface direct health-effect claims, only optional background presence language.",>= 15 g starch/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,Not applicable for ordinary total starch; resistant starch should be handled as a separate nutriment.,Marked not typical for supplement routing. Keep ordinary starch as carbohydrate/glycemic food-level context. Add a separate Resistant Starch row later if resistant-starch powder or prebiotic effects need routing.
Sucrose,2.5,g sucrose/serving,"5% of FDA added-sugars Daily Value, used as the low-boundary caution threshold for sucrose as an added/free sugar source","FDA Daily Values and 5% DV low guidance, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; FDA Nutrition Facts Label guide, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; WHO sugars guideline summary, https://www.who.int/news/item/04-03-2015-who-calls-on-countries-to-reduce-sugars-intake-among-adults-and-children",meaningful_dose_reviewed_caution,25,g sucrose/serving,high added-sugar/sports-carbohydrate serving context; caution-only exposure,"FDA added sugars DV is 50 g/day on a 2,000 calorie diet, https://www.fda.gov/media/135299/download; carbohydrate gel study used 30 g carbohydrate per serving, https://www.sciencedirect.com/science/article/pii/S2405844024095288; FDA Nutrition Facts label explains added sugars include sucrose/table sugar, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label",supplement_dose_reviewed_caution,"< 2.5 g sucrose/serving; do not surface direct health-effect claims, only optional background presence language.",>= 2.5 g sucrose/serving and below 25 g sucrose/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 25 g sucrose/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 5 g for minimum-effect/caution routing. Sucrose should route as added/free sugar caution when the matrix indicates added sugar; naturally occurring sugars in whole foods need more context.
